,zon,zon_ef,mer,mer_perp,mer_parl,N,nui,R,F,E,ratio,hem,ge,K,dn
420,96.73739747084534,66.13649323857267,68.7540276787602,-10.144826750920625,28.399304670929865,8.854013708600145e+17,0.18923277234774052,8.136074868959172e-05,16.805378462089006,0.2580049880652303,0.9848796114311725,south,8.635282662299383,3.1336156098753477e-06,2013-12-25 00:30:00
430,96.54942304719711,65.44854573074394,69.84202128070255,-10.863596855903994,29.137781565584895,9.120205819857402e+17,0.17900897441094643,7.684563281979514e-05,16.648155118283306,0.2652534677735708,0.9843169715658473,south,8.609933619999481,2.89508541640209e-06,2013-12-25 00:30:00
440,96.56737234902859,65.00302913546736,70.84533121912455,-11.49011118997044,29.767649071645256,9.302081130046469e+17,0.17042727686005335,7.294430961180878e-05,16.384695873536042,0.27312024118555045,0.9836040787517052,south,8.584696033009237,1.9305018620608675e-06,2013-12-25 00:30:00
450,96.75517054180561,64.84692687204901,71.61775326402181,-11.846636024506333,30.26406017981707,9.397877125608279e+17,0.162711572331311,6.923116965006089e-05,15.997142328446028,0.2818441161766638,0.9826866299609357,south,8.559569248885623,1.4514295977158958e-06,2013-12-25 00:30:00
460,96.4770190662079,64.17592192547937,72.46931302951081,-12.473171207010266,30.846393478416392,9.492311777876703e+17,0.1564467953439841,6.654201958254064e-05,15.661862256747584,0.29053674488297904,0.9817872694349431,south,8.534552619952782,1.0393824718799688e-06,2013-12-25 00:30:00
470,96.55039621695745,64.02316561879931,72.95931333891262,-12.732065579964146,31.150072041359458,9.512237040091219e+17,0.15114769300154993,6.425200329433406e-05,15.29053645490489,0.2992360111809782,0.9808056203621996,south,8.50964550326026,8.477688806313699e-07,2013-12-25 00:30:00
480,94.40032294685555,61.937317593417504,72.83713198145352,-13.326815007056773,31.464832573629636,9.570086672391918e+17,0.1484569861725003,6.569995182367962e-05,15.403149810891833,0.25210270686238617,0.9838966055273473,south,8.484847260541722,7.09862262838704e-07,2013-12-25 00:30:00
490,93.93613741009794,61.07520414087086,73.73297796656371,-14.024203617911596,32.126855872672245,9.564655756427327e+17,0.14468263116846286,6.425142268248984e-05,15.124783807718634,0.2565639560888324,0.983319800057279,south,8.460157258174037,8.300928878147805e-08,2013-12-25 00:30:00
500,93.81550795993284,60.66227401075896,74.42462069286844,-14.408806392360113,32.64966370896697,9.502656021161811e+17,0.1414960008888226,6.295669633390976e-05,14.818548889875506,0.25815903509542015,0.982876962505333,south,8.435574867136822,-5.113302422744806e-07,2013-12-25 00:30:00
80,,,,,,,,,,-1.0381589655338137e-10,,north,9.568461737165052,,2013-12-25 00:40:00
90,,,,,,,,,,0.012919107952720539,,north,9.538897985579665,,2013-12-25 00:40:00
100,,,,,,,,,,0.05506434305574625,,north,9.509471037659582,,2013-12-25 00:40:00
110,,,,,,,,,,0.22062936150655366,,north,9.480180050642307,,2013-12-25 00:40:00
120,,,,,,,,,,0.8558153514942862,,north,9.451024188245025,,2013-12-25 00:40:00
130,,,,,,,,,,1.1567994927757088,,north,9.422002620604932,,2013-12-25 00:40:00
140,,,,,,,,,,1.080047922225619,,north,9.393114524220158,,2013-12-25 00:40:00
150,,,,,,,,,,1.1518064375114,,north,9.364359081891372,,2013-12-25 00:40:00
160,-20.107702723744598,-18.283494463652097,-2.0243945625614876,0.13136132111486687,4.78745354973428,683929494795459.1,14.54139651784117,0.02302677406687422,0.6680193440686222,0.7502168234023656,0.47102123002534946,north,9.335735482663964,,2013-12-25 00:40:00
170,3.162734444305544,-0.583766951065877,10.647025790628277,0.2357468868906391,8.93986644564523,1899865787550450.2,10.769136078828208,0.01540819171551612,1.381227172444445,0.6297618402211327,0.6868397409161477,north,9.307242921770898,0.00012913562552351244,2013-12-25 00:40:00
180,23.052853075757188,14.787758341330132,21.01171353833488,0.49593225536118385,12.159784933699578,5562086471929837.0,8.394288129309727,0.010985988037140806,3.1551625078401933,0.5800986516497786,0.8446966284603812,north,9.27888060057611,9.108094282239389e-05,2013-12-25 00:40:00
190,38.233876141822776,26.823429955222892,28.161698070805027,0.771848391401179,13.960088701423192,1.1968356980833392e+16,6.611100550493422,0.007957606994527928,5.348332423153269,0.5205072919670263,0.9113100174424584,north,9.250647726518585,7.20569747997851e-05,2013-12-25 00:40:00
200,49.201073690029084,35.937575743369614,32.1569850111277,0.9478234423498194,14.201630337364948,2.2681037927706784e+16,5.204025740575649,0.005751781373172658,8.044318872471932,0.4833019196988313,0.9433251159405971,north,9.222543513056936,5.623546099447412e-05,2013-12-25 00:40:00
210,56.33872617083747,42.196547116119056,33.837777675369885,1.0241368103846464,13.526295546079252,3.7253274429691544e+16,4.162829665183311,0.004257511835580028,10.624830510381136,0.4440220202766628,0.9598854516268205,north,9.194567179614682,4.70534207626147e-05,2013-12-25 00:40:00
220,62.09813408178285,47.387341831634096,34.814853029610234,1.0524883549637443,12.651166087161398,5.7374133354301256e+16,3.3422779942004683,0.0031619340735167165,13.189954515385725,0.429942681859887,0.9684327513171807,north,9.166717951525998,3.995362763154557e-05,2013-12-25 00:40:00
230,66.69108183624773,51.342301594505194,36.072774811201974,1.0193080297061465,12.37488480044804,8.255432024267709e+16,2.6956477585335255,0.0023647718716870705,15.483405205835536,0.4153623209557798,0.9738745584992142,north,9.138995059982113,3.9093810770841665e-05,2013-12-25 00:40:00
240,70.52797458458123,54.928230389323865,36.417398215636354,1.0329897530896561,11.545572739188186,1.2111065430189674e+17,2.2034875719395473,0.0017974548100866683,18.612748918530496,0.39598093412765767,0.9791684695822912,north,9.111397741978243,3.6980982644521025e-05,2013-12-25 00:40:00
250,73.67246377760493,57.92686399121959,36.56962164121615,1.0429787646160682,10.770318803891442,1.709802557139871e+17,1.8232263268530633,0.0013875838004057202,21.77155931590243,0.3760965101778018,0.9830186764174417,north,9.083925240261097,3.288428310949812e-05,2013-12-25 00:40:00
260,76.12295129817483,60.34158128168019,36.511210809968226,1.048962801620305,10.03061497341397,2.3196308211559722e+17,1.5318162248060245,0.001095132392353812,24.8778517616,0.34990236991763324,0.9861302608193533,north,9.05657680327692,2.64166932940165e-05,2013-12-25 00:40:00
270,78.46832011314645,62.41848162870362,37.05477973640459,1.0402559200323318,9.834768004786692,2.914435238411601e+17,1.2931616963731747,0.0008691756710222544,26.52722076613942,0.3245296336076688,0.9879140231539347,north,9.029351685120096,2.390400089581505e-05,2013-12-25 00:40:00
280,79.7411097102053,63.84323396921413,36.62032351135027,1.0369095456889885,9.129216337284095,3.685854619695197e+17,1.1189800170090523,0.0007193112008337867,29.139621649035234,0.33479337351041083,0.988641220758603,north,9.002249145482297,2.3128152540858728e-05,2013-12-25 00:40:00
290,80.84754831599865,65.1916582160785,36.00422967366808,1.0452873925168693,8.34080208234086,4.585570610641153e+17,0.975043423903585,0.0005999866132267278,31.544635462797793,0.3074332865244751,0.990348090450765,north,8.975268449602138,1.7864750199639674e-05,2013-12-25 00:40:00
300,82.00328214207944,66.28135408594585,36.131548368607106,1.0383088694035292,8.144249717864055,5.283890102091979e+17,0.8554326962176964,0.0005068430497750314,32.185119526439344,0.3157758600658652,0.9902840873671137,north,8.948408868215399,1.513133925839256e-05,2013-12-25 00:40:00
310,82.5099619465522,67.04542044957019,35.50876344430726,1.025333913448504,7.520582775378188,6.136440372885267e+17,0.7636066000924404,0.0004401315997437875,33.3080853420004,0.2928634270999969,0.991284072687575,north,8.921669677505726,1.2763488343834956e-05,2013-12-25 00:40:00
320,83.05899585134391,67.63026434704067,35.4183744636017,1.0177884509579214,7.313615186797842,6.796141687502647e+17,0.6851940820276301,0.0003863676004869196,33.16610432638893,0.29907268135995485,0.9910631675042179,north,8.895050159055883,1.17737442470042e-05,2013-12-25 00:40:00
330,83.4020497431596,68.31532223801729,34.60702634073466,0.9902962671904502,6.59434558471114,7.674891395286445e+17,0.6211101881748768,0.00034220780820029995,33.91057696424899,0.2609712157596385,0.9923629092136858,north,8.868549599799476,1.109613273870687e-05,2013-12-25 00:40:00
