,zon,zon_ef,mer,mer_perp,mer_parl,N,nui,R,F,E,ratio,ge,K
2013-12-24 23:30:00,193.784553376165,141.87857910254627,122.55835665747514,-3.4265332084161906,50.0263482330614,9.974667272249295e+17,1.7229665346534397,0.001198943803111988,67.42001293621017,0.8465129881310665,0.9875998818356563,8.948408868215399,2.9819301577813632e-05
2013-12-24 23:40:00,194.03013851850136,142.93310472205155,120.05297568453756,-3.648869341757464,47.665148875322025,9.79889797273758e+17,1.6826596847752968,0.0011426685940972266,64.71943182851084,0.8121452523380556,0.9876068105100526,8.948408868215399,2.998618335261651e-05
2013-12-24 23:50:00,193.2366274864223,143.1607189109848,117.09214602552896,-3.84279422829216,45.22248347447527,9.596968123702134e+17,1.637864319784255,0.0010822729028753199,61.72264170272295,0.7825736915448863,0.9874798656942689,8.948408868215399,3.0289063301699e-05
2013-12-25 00:00:00,190.2485299170394,142.05602158581775,111.8707503792015,-4.016099118294926,41.38530402062512,9.305153969124224e+17,1.6702003095919777,0.001057369160074247,60.9874469573918,0.7586532404287185,0.9877133416037909,8.948408868215399,3.0647272828727905e-05
2013-12-25 00:10:00,187.324454138744,140.5083748237362,108.22397105582527,-4.114174555965853,39.00261047948625,9.064404502879821e+17,1.6178999522457638,0.0009913034994282924,57.56100846055614,0.7367889898753419,0.9873616324784515,8.948408868215399,3.1196661487266605e-05
2013-12-25 00:20:00,183.25962152160758,138.0192180903382,104.17940143021167,-4.1639356076689324,36.62192045233819,8.821486974545062e+17,1.5653770992716225,0.0009271456441345932,54.20826295457501,0.7183222078867756,0.9869221396931536,8.948408868215399,3.1803986514785945e-05
2013-12-25 00:30:00,178.05382031541512,134.57560395475593,99.77572036380134,-4.165858115030028,34.27851276406485,8.589294442123342e+17,1.514669919944585,0.0008669141081282902,51.07587680851882,0.7028719879149921,0.9864254736884759,8.948408868215399,3.240781665613663e-05
2013-12-25 00:40:00,171.86500547812102,130.28473090364577,95.13312757226257,-4.129924808257136,32.02943409812756,8.379230261247972e+17,1.467118502870652,0.00081130743313541,48.263630561971226,0.6901101109445661,0.9859028114816489,8.948408868215399,3.294256304849339e-05
2013-12-25 00:50:00,164.77305116573282,125.1982193406532,90.31882973090562,-4.065181061670916,29.908846362804415,8.199804604584873e+17,1.4246220712707984,0.0007620346380882841,45.85912319738058,0.679753496224303,0.9853938568242729,8.948408868215399,3.341031425752689e-05
2013-12-25 01:00:00,156.9727060874001,119.5151876083927,85.30742672796758,-3.941849484860953,27.840325274615374,8.051836716014182e+17,1.3857717008533652,0.0007175784438220615,43.810565230045285,0.671557698754362,0.9849027507111274,8.948408868215399,3.382141189911592e-05
2013-12-25 01:10:00,148.74119446669414,113.52817382519254,80.03003444575344,-3.7077415957224344,25.682865337889087,7.936310963902659e+17,1.3492599254776851,0.0006754955194299188,42.068047945451255,0.665309340427988,0.9844311474060609,8.948408868215399,3.387953175387671e-05
2013-12-25 01:20:00,140.42636975119217,107.45646825336615,74.7796820546383,-3.4140227838186954,23.5799039438512,7.853719430105546e+17,1.3172970394081123,0.0006364308402388366,40.67152908840913,0.6608218786338991,0.9840119939182551,8.948408868215399,3.360330427332116e-05
2013-12-25 01:30:00,131.69100177932464,100.7784317074458,70.06464051649775,-3.2944750471411743,22.059884923806383,7.801519329789553e+17,1.2989864091342374,0.0006118651560116377,39.8298177727965,0.6579304831240114,0.9837498870284098,8.948408868215399,3.316103622110011e-05
2013-12-25 01:40:00,122.46878117405538,93.59469065531836,65.45866730157832,-3.2433296189379996,20.780921035120947,7.770224374304169e+17,1.2923307392620726,0.000600888587866068,39.429864908809684,0.6564875604126086,0.9836231654921298,8.948408868215399,3.259606961812526e-05
2013-12-25 01:50:00,113.12048184033411,86.2156058039148,61.057201138988944,-3.250921755239238,19.71753365640821,7.752489934529062e+17,1.2959998935648402,0.0006018647783969786,39.394064225531096,0.6563601234394771,0.9836116562031796,8.948408868215399,3.1909857306245636e-05
2013-12-25 02:00:00,104.12582409370839,78.87761792279352,57.44680585629632,-3.438924878123661,19.2275198546263,7.746248770448271e+17,1.313107268318919,0.0006168424419388718,39.79366876954637,0.6574261445564253,0.9837476304176078,8.948408868215399,3.1027003557806596e-05
2013-12-25 02:10:00,96.05170168978701,72.4796487477022,53.71434176976338,-3.434915257136411,18.371339410931462,7.735214597028036e+17,1.3239746455074444,0.0006231927891509527,40.01826676882024,0.6595716857512537,0.9837854785109131,8.948408868215399,2.9959371405193972e-05
2013-12-25 02:20:00,88.60377577626429,66.61725582310942,50.17459932680872,-3.3920237596661753,17.502373849556815,7.716792857382469e+17,1.3347718351138298,0.0006296786144969959,40.21405727465776,0.662688571318544,0.9837881280027633,8.948408868215399,2.8958136090227998e-05
2013-12-25 02:30:00,81.81518249340665,61.26205997891293,46.982362971519194,-3.356775651720454,16.741239494137098,7.692038215913825e+17,1.3481019701498271,0.0006389819073270321,40.45198415983968,0.6666730255943716,0.9837866051270143,8.948408868215399,2.7996664345303285e-05
2013-12-25 02:40:00,75.73849439680583,56.45755030752937,44.1572668807788,-3.3280397304146674,16.089548850974573,7.659941131157079e+17,1.3631467301496067,0.0006504014534716619,40.701497572404435,0.6714220336950851,0.9837714611371999,8.948408868215399,2.7047223801766e-05
2013-12-25 02:50:00,70.40612396589158,52.22995842891041,41.71331930308086,-3.304832382299184,15.550059678274078,7.620606772404872e+17,1.3791400537223955,0.0006632756892836146,40.939436471123415,0.6770488713385387,0.983731233770293,8.948408868215399,2.6126859197551624e-05
2013-12-25 03:00:00,67.46542361170947,50.56623512416134,38.32418012778971,-3.637877084829019,13.383545048339146,7.57495155410082e+17,1.3955885826913743,0.00067727719820711,41.15496593301959,0.6847109978355387,0.9836348880282441,8.948408868215399,2.5243941960226252e-05
2013-12-25 03:10:00,63.56464565302531,47.420343674563,36.69263000037478,-3.6477728091737176,13.132612114591838,7.524246746464649e+17,1.411858235282137,0.0006917383596070519,41.33591339918064,0.6928706372638274,0.9835143782255746,8.948408868215399,2.4402334026469005e-05
2013-12-25 03:20:00,60.4284260139837,44.8519154223232,35.498243351910844,-3.6647442475168868,13.039083365225776,7.469662219556605e+17,1.4275668751833543,0.0007063437499530902,41.47705601640213,0.7019121803609567,0.9833587161950818,8.948408868215399,2.361427269939828e-05
2013-12-25 03:30:00,58.037629546042496,42.84207468798052,34.74366541497964,-3.6868334342625455,13.11131523777146,7.411488143744741e+17,1.4420356085155783,0.0007203876713351504,41.56059620335113,0.7115912163956842,0.9831664444205395,8.948408868215399,2.288106294632611e-05
2013-12-25 03:40:00,56.36238601039533,41.36716433091247,34.41489034853961,-3.7140654444412293,13.345766422427388,7.349758434512704e+17,1.454948087703338,0.0007334950115136264,41.57791881532569,0.7216175149353512,0.9829402972812468,8.948408868215399,2.2202788628697544e-05
2013-12-25 03:50:00,55.36317144603888,40.39732251804098,34.48902757786977,-3.746908433952816,13.73383629538209,7.28379967791788e+17,1.4661597344933086,0.0007454514995910561,41.52138179785675,0.731960942036654,0.9826768512365397,8.948408868215399,2.1576519234481276e-05
2013-12-25 04:00:00,54.989908038731414,39.89553839313085,34.934646886117264,-3.7860298725096584,14.262472801146213,7.212211204640356e+17,1.4756604684189518,0.0007561559822612247,41.382961547208666,0.7426005774538496,0.9823717348802072,8.948408868215399,2.099961350408873e-05
